information__client_nodes,information__ds_storage_type,information__ds_storage_interface,information_net_ds_storage_devices,information__ds_storage_price_gb,information__ds_storage_net_price_per_gb,ior__easy_write,ior__easy_read,ior__hard_write,ior__hard_read,mdtest__easy_write,mdtest__easy_stat,mdtest__easy_delete,mdtest__hard_write,mdtest__hard_read,mdtest__hard_stat,mdtest__hard_delete,find__easy,io500__tot_iops,io500__bw,io500__md,io500__score
8,NAND,NVMe,64,0.15,9.6,60.4,68.22,11.06,13.68,157.85,665.21,117.31,18.13,69.56,66.61,15.29,718.83,111.53,28.1,101.63,53.44
10,NAND,NVMe,72,0.15,10.8,30.96,57.52,1.76,31.46,156.84,1681.39,120.22,7.85,25.48,107.33,7.33,772.36,87.37,17.71,88.76,39.65
1,NAND,NVMe,64,0.15,9.6,10.25,10.23,7.63,7.51,123.68,359.29,100.24,16.19,92.43,101.85,16.42,255.65,67.49,8.81,85.48,27.43
1,NAND,NVMe,64,0.15,9.6,10.21,9.7,5.48,7.05,110.7,165.35,61.98,16.86,43.05,53.9,9.86,266.31,49.81,7.87,57.32,21.24
10,NAND,NVMe,40,0.15,6,12.66,7.42,2.53,12.2,21.39,93.87,18.17,8.84,28.06,103.75,5.63,280.43,33.82,7.34,33.22,15.61
10,NAND,NVMe,40,0.15,6,12.88,6.78,2.32,12.13,26.72,79.74,20.79,10,27.65,83.66,5.75,273.59,33.6,7.04,33.57,15.38
10,NAND,NVMe,40,0.15,6,12.63,6.85,2.5,11.43,20.85,69.34,20.87,9.27,27.23,89.19,6.18,275.88,32.7,7.05,32.21,15.07
10,NAND,NVMe,40,0.15,6,12.33,6.94,2.4,11.37,21.66,72.11,17.68,10.04,25.3,80.11,6.24,211.43,31.36,6.95,30.46,14.55
10,NAND,NVMe,16,0.15,2.4,14.86,12.74,0.43,2.1,71.46,105.83,33.26,2.39,65.37,104.91,0.46,1300.12,27.86,3.62,35.37,11.31
10,NAND,NVMe,16,0.15,2.4,14.24,12.74,0.48,1.98,74.67,107.8,32.59,1.74,51.8,106.7,0.47,1553.05,27.24,3.63,34.15,11.13
