index,rank,information__list_id,information__system,information__is_cloud,information__is_vendor,information__institution,information__storage_vendor,information__submission_date,information__storage_install_date,information__filesystem_type,information__filesystem_version,information__client_nodes,information__client_total_procs,information__client_procs_per_node,information__client_operating_system,information__client_operating_system_version,information__client_kernel_version,information__md_nodes,information__md_storage_devices,information__md_volatile_memory_capacity,information__md_storage_type,information__md_storage_interface,information__md_network,information__ds_nodes,information__ds_storage_devices,information_net_ds_storage_devices,information__ds_volatile_memory_capacity,information__ds_storage_type,information__ds_storage_interface,information__ds_storage_price_gb,information__ds_storage_net_price_per_gb,information__ds_network,ior__easy_write,ior__easy_read,ior__hard_write,ior__hard_read,mdtest__easy_write,mdtest__easy_stat,mdtest__easy_delete,mdtest__hard_write,mdtest__hard_read,mdtest__hard_stat,mdtest__hard_delete,find__easy,io500__tot_iops,io500__bw,io500__md,io500__score
80,81,sc19,Palmetto Burstbuffer,no,-1.0,Clemson University,AdvancedHPC,11/1/2019,5/1/2019,BeeGFS,7.1.3,10,120,12,Oracle Linux UEK,7.6,4.1.12-103.9.4.el7uek.x86_64,4.0,2.0,512,NAND,NVMe,IB-EDR,4.0,24.0,96.0,512,NAND,NVMe,0.15,14.4,IB-EDR,20.87,29.59,3.51,13.06,34.39,190.59,48.81,3.91,15.52,55.58,2.61,957.46,42.99,12.97,35.8,21.55
69,70,sc19,Penguin-ASG-NVBeeOne,no,-1.0,Penguin Computing Benchmarking and Innovation Lab,Penguin Computing/Excelero,11/12/2019,8/12/2019,BeeGFS,7.1.3,10,320,32,Red Hat Enterprise Linux,7.6,3.10.0-957.27.2.el7.x86_64,8.0,4.0,-1,NAND,NVMe,IB-EDR,8.0,9.0,72.0,-1,NAND,NVMe,0.15,10.8,IB-EDR,30.96,57.52,1.76,31.46,156.84,1681.39,120.22,7.85,25.48,107.33,7.33,772.36,87.37,17.71,88.76,39.65
52,53,isc20,Polytechnic RSC Tornado,no,-1.0,SPbPU,RSC Group,7/13/2020,None,Lustre,2.13.0,59,944,16,CentOS,7.7.1908,3.10.0-1062.1.1.el7.x86_64,4.0,2.0,187,NAND,NVMe,IB-FDR,55.0,2.0,110.0,187,NAND,NVMe,0.15,16.5,IB,124.8,194.97,2.98,2.98,188.81,735.71,134.52,88.86,304.47,380.5,64.77,146.54,155.88,21.56,191.73,64.29
14,15,isc20,Presque,no,-1.0,Argonne National Laboratory,Argonne National Laboratory,7/13/2020,11/15/2019,DAOS,1.1,10,380,38,Red Hat Enterprise Linux,7.7,3.10.0-1062.4.3.el7.x86_64,8.0,12.0,384,3DXP,DIMM,100GbE,8.0,12.0,96.0,384,NAND,NVMe,0.15,14.4,100GbE,133.28,131.95,80.92,59.19,3315.18,3403.63,1916.96,725.92,1575.54,2900.14,1822.73,2177.51,1234.37,95.8,2026.8,440.64
8,9,isc20,Presque,no,-1.0,Argonne National Laboratory,Argonne National Laboratory,7/13/2020,11/15/2019,DAOS,1.1,16,544,34,Red Hat Enterprise Linux,7.7,3.10.0-1062.4.3.el7.x86_64,10.0,12.0,384,3DXP,DIMM,100GbE,10.0,12.0,120.0,384,NAND,NVMe,0.15,18.0,100GbE,114.58,130.23,112.27,81.77,4386.2,4521.23,2559.27,924.09,2100.11,3730.5,2357.16,2969.3,1544.19,108.19,2668.57,537.31
113,114,isc20,SDumont,no,-1.0,LNCC,Cay/HPE,7/13/2020,1/13/2016,Lustre,2.12,10,240,24,Red Hat Enterprise Linux,7.6,3.10.0-957.el7.x86_64,1.0,40.0,64,HDD,SAS,IB-FDR,10.0,4.0,40.0,32,HDD,SAS,0.02,0.8,IB-FDR,16.89,14.55,0.08,1.56,0.17,13.59,21.99,0.17,5.28,15.36,8.11,12.28,5.64,2.32,4.02,3.06
84,85,sc19,Sherlock/Fir,no,-1.0,Stanford,"Dell, QCT, HGST",11/8/2019,2/5/2019,Lustre,2.12.3,10,240,24,CentOS,7.6.1810,3.10.0-957.27.2.el7.x86_64,4.0,1.0,-1,NAND,SAS,IB-HDR,16.0,6.0,96.0,-1,NAND,SAS,0.15,14.4,IB-HDR,25.01,23.23,0.56,2.29,84.52,354.37,52.55,20.93,40.98,34.23,12.39,475.48,46.64,5.23,63.74,18.25
99,100,sc19,Sherlock/Oak,no,-1.0,Stanford,"Dell, QCT, HGST",11/8/2019,11/1/2016,Lustre,2.12.3,10,240,24,CentOS,7.6.1810,3.10.0-957.27.2.el7.x86_64,2.0,2.0,3072,NAND,SAS,IB-FDR,8.0,22.0,176.0,-1,NAND,SAS,0.15,26.4,IB,7.15,7.83,0.23,0.98,15.43,185.7,20.64,8.42,46.75,60.05,15.32,914.54,26.68,1.89,45.87,9.31
104,105,sc19,Sherlock/Regal,no,-1.0,Stanford,Dell,11/8/2019,5/28/2013,Lustre,2.8.0,10,160,16,CentOS,7.6.1810,3.10.0-957.27.2.el7.x86_64,1.0,1.0,128,HDD,SAS,IB-FDR,18.0,6.0,108.0,128,HDD,SAS,0.02,2.16,IB,3.66,6.68,0.42,0.71,13.11,129.69,12.34,11.73,19.32,41.74,7.74,459.78,19.3,1.64,30.28,7.05
44,45,sc19,TStor3000,no,-1.0,State Key Laboratory of High-end Server & Storage Technology,INSPUR,11/7/2019,10/10/2019,BeeGFS,7.1.3,10,300,30,CentOS,7.6.1810,3.10.0-957.el7.x86_64,24.0,3.0,384,3DXP,DIMM,IB-EDR,24.0,8.0,192.0,384,NAND,NVMe,0.15,28.8,IB-EDR,105.1,97.26,6.43,43.56,478.03,2621.06,762.01,8.47,26.92,121.68,11.87,1809.67,175.43,41.14,165.71,82.57
